N ,TAG,DATA,LOCAL,FITOFISIONOMIA,HORA,REDE,BOLSA,ESPECIE,P1,P2,AB,SEX,ER,HA,FEZES,SEMENTE,ESTÁDIO,ECTO,FOTOS,OBS,LAT,LONG,ALTITUDE,FLORESTADA_NDVI_35,CULTIVO_NDVI_35,CULTIVO_SOLO_NDVI_35,AGUA_SOLO_NDVI_35,FLORESTADA_NDVI_5,CULTIVO_NDVI_5,CULTIVO_SOLO_NDVI_5,AGUA_SOLO_NDVI_5,N_MANCHAS_CONTINUAS,EXPLOR_DOMIN,TEMP_MAX_PONTO,TEMP_MAX,TEMP_MIN_PONTO,TEMP_MIN,UMID_MAX_PONTO,UMID_MAX,UMID_MIN_PONTO,UMID_MIN,CHUVA,VENT_MAX,C. pachystachya,F. aduncum,Ficus cf.,Ficus insipida ,Ficus obtusifolia ,Ficus sp1,Ficus sp2,Macloura tinctoria,Piper,Piper regnellii,Piper aduncum,Piper amalago,Piper sp1,Piper sp2,Psidium sp.,Rubiaceae sp1,Solanum  lycocarpum,Solanum sp3,Solanum sp1,Solanum sp2,Solanum sp4,sp1,sp2
1,NA,"November 18, 2014",P4ATQ,CER-MA,2132,1,NA,G. soricina,54,42,35.2,M,TE,NEC/FRU,N,N,N,N,NA,NA,-17.63321667,-53.35798333,704,35.88686,30.94886,15.12827,18.03601,14.956611,32.73405,25.53809,26.76504,4,CANA,NA,33.3,NA,16.4,NA,80,NA,29,0,24.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,NA,"January 19, 2015",P1 BON,MA,1927,3,3,G. soricina,52,42,35,F,Lac,NEC/FRU,N,N,N,N,610/638,NA,-21.3073,-56.2284,205,27.46512,40.59369,17.67545,14.26574,36.92038,27.08076,24.60966,11.38922,10,SOJA/PASTAGEM,NA,37,NA,22.8,NA,89,NA,32,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,NA,"January 19, 2015",P1 BON,MA,1927,3,2,G. soricina,38,34,37.5,F,Ad,NEC/FRU,N,N,N,N,639/657,NA,-21.3073,-56.2284,205,27.46512,40.59369,17.67545,14.26574,36.92038,27.08076,24.60966,11.38922,10,SOJA/PASTAGEM,NA,37,NA,22.8,NA,89,NA,32,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,NA,"January 19, 2015",P1 BON,MA,2012,3,3,G. soricina,36,32,37.6,F,Jov,NEC/FRU,N,N,N,N,658/663,NA,-21.3073,-56.2284,205,27.46512,40.59369,17.67545,14.26574,36.92038,27.08076,24.60966,11.38922,10,SOJA/PASTAGEM,NA,37,NA,22.8,NA,89,NA,32,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,NA,"January 19, 2015",P1 BON,MA,2102,3,2,C. perspicillata,50,28,45,M,TE,FRUGÍVORO,S,Piper cf. aduncum,Não identificado,N,673/685,NA,-21.3073,-56.2284,205,27.46512,40.59369,17.67545,14.26574,36.92038,27.08076,24.60966,11.38922,10,SOJA/PASTAGEM,NA,37,NA,22.8,NA,89,NA,32,0,10.44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,NA,"January 19, 2015",P1 BON,MA,2212,2,3,A. caudifer,40,24,40.9,M,TE,NEC/FRU,S,C. pachystachya,maduro,N,686/696,NA,-21.3073,-56.2284,205,27.46512,40.59369,17.67545,14.26574,36.92038,27.08076,24.60966,11.38922,10,SOJA/PASTAGEM,NA,37,NA,22.8,NA,89,NA,32,0,10.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,NA,"January 20, 2015",P1 BON,MA,2303,3,3,C. perspicillata,60,42,44.5,M,Jov,FRUGÍVORO,S,N,N,N,697/702,NA,-21.3073,-56.2284,205,27.46512,40.59369,17.67545,14.26574,36.92038,27.08076,24.60966,11.38922,10,SOJA/PASTAGEM,NA,37,NA,22.8,NA,89,NA,32,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,NA,"January 20, 2015",P2 BON,MA,2005,1,1,S. lilium,NA,NA,NA,F,Pr,FRUGÍVORO,N,N,N,N,N,Escapou,-21.17491667,-56.45103333,277,30.71608,36.84988,11.16996,21.26408,30.46499,29.92217,22.80194,16.81091,11,SOJA/PASTAGEM,NA,36.6,NA,23.2,NA,90,NA,33,0,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,NA,"January 20, 2015",P2 BON,MA,2005,1,3,C. perspicillata,62,34,45.4,F,Jov,FRUGÍVORO,S,Piper cf. amalago,Não identificado,N,N,NA,-21.17491667,-56.45103333,277,30.71608,36.84988,11.16996,21.26408,30.46499,29.92217,22.80194,16.81091,11,SOJA/PASTAGEM,NA,36.6,NA,23.2,NA,90,NA,33,0,7.56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,NA,"January 20, 2015",P2 BON,MA,2005,1,4,C. perspicillata,52,34,42.7,F,Lac,FRUGÍVORO,S,Solanum sp1,Não identificado,N,N,NA,-21.17491667,-56.45103333,277,30.71608,36.84988,11.16996,21.26408,30.46499,29.92217,22.80194,16.81091,11,SOJA/PASTAGEM,NA,36.6,NA,23.2,NA,90,NA,33,0,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
